id,name,currency_id/id,code,account_type,include_initial_balance,internal_group,reconcile,company_id/id,create_asset,multiple_assets_per_line
account_account_pdc_receivable,PDC Receivable,,100101,asset_current,1,asset,1,base.main_company,no,
account_account_pdc_payable,PDC Payable,,100102,asset_current,1,asset,1,base.main_company,no,
account_account_overhead_cost,OverHead Cost,,101401,liability_current,1,liability,1,base.main_company,no,
account_account_outstanding_receipts,Outstanding Receipts,,1014010,asset_current,1,asset,1,base.main_company,no,
account_account_post_dated_cheque,Post Dated Cheque,,1014011,asset_cash,1,asset,,base.main_company,no,
account_account_advance_payment_copy,Advance payment (copy),base.LKR,1014012,asset_cash,1,asset,,base.main_company,no,
account_account_vendor_bills_copy,Vendor Bills (copy),base.LKR,1014013,asset_cash,1,asset,,base.main_company,no,
account_account_webxpay_journal,WebXPay Journal,,1014014,asset_cash,1,asset,,base.main_company,no,
account_account_overhead_cost_40,OverHead Cost,,101402,asset_cash,1,asset,,base.main_company,no,
account_account_general_cost,General Cost,,101403,asset_current,1,asset,1,base.main_company,no,
account_account_labour_cost,Labour Cost,,101404,asset_current,1,asset,1,base.main_company,no,
account_account_labour_cost_1426,Labour Cost,,101405,expense,,expense,,base.main_company,no,
account_account_general_cost_1427,General Cost,,101406,asset_current,1,asset,1,base.main_company,no,
account_account_outstanding_receipts_1428,Outstanding Receipts,,101407,asset_current,1,asset,1,base.main_company,no,
account_account_outstanding_payments,Outstanding Payments,,101408,asset_current,1,asset,1,base.main_company,no,
account_account_outstanding_payments_1434,Outstanding Payments,,101409,asset_current,1,asset,1,base.main_company,no,
account_account_labour_cost_37,Labour Cost,,101501,expense,,expense,,base.main_company,no,
account_account_labour_cost_38,Labour Cost,,101502,asset_current,1,asset,1,base.main_company,no,
account_account_outstanding_payments_39,Outstanding Payments,,101503,asset_current,1,asset,1,base.main_company,no,
account_account_general_cost_44,General Cost,,101504,asset_cash,1,asset,,base.main_company,no,
account_account_labour_ot_cost,Labour OT Cost,,101511,expense,,expense,,base.main_company,no,
account_account_labour_ot_cost_1449,Labour OT Cost,,101512,asset_current,1,asset,1,base.main_company,no,
account_account_land,LAND,base.LKR,11010010,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_building,BUILDING,base.LKR,11010030,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_plant_and_machinery,PLANT AND MACHINERY,base.LKR,11010050,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_furniture,FURNITURE,base.LKR,11010070,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_fixtures_fittings,FIXTURES & FITTINGS,base.LKR,11010090,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_office_equipment,OFFICE EQUIPMENT,base.LKR,11010110,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_tools,TOOLS,base.LKR,11010130,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_pattern_design,PATTERN & DESIGN,base.LKR,11010150,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_factory_equipment,FACTORY EQUIPMENT,base.LKR,11010170,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_demonstration_machinery,DEMONSTRATION MACHINERY,base.LKR,11010190,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,1
account_account_motor_vehicles,MOTOR VEHICLES,base.LKR,11010210,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,
account_account_motor_vehicles_lease_hold,MOTOR VEHICLES - LEASE HOLD,,11010230,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,draft,
account_account_provision_for_depreciation_buildings,PROVISION FOR DEPRECIATION - BUILDINGS,base.LKR,11020030,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_provision_for_depreciation_plant_machine,PROVISION FOR DEPRECIATION - PLANT & MACHINERY,base.LKR,11020050,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_provision_for_depreciation_furniture,PROVISION FOR DEPRECIATION - FURNITURE,base.LKR,11020070,asset_fixed,1,asset,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
