id,name,active,plan_id/id,company_id/id,partner_id/id
account_analytic_account_mrg_s00007_prj,MRG%: S00007_PRJ,1,analytic.analytic_plan_projects,base.main_company,Jinasena_MasterData_Common.res_partner_janitha_chamath_ranasinghe
account_analytic_account_s00006_prj,S00006_PRJ,1,analytic.analytic_plan_projects,base.main_company,Jinasena_MasterData_Common.res_partner_janitha_chamath_ranasinghe
account_analytic_account_s00008_prj,S00008_PRJ,1,analytic.analytic_plan_projects,base.main_company,base.default_user_res_partner
account_analytic_account_s00021_prj,S00021_PRJ,1,analytic.analytic_plan_projects,base.main_company,Jinasena_MasterData_Common.res_partner_rubber_development_department
account_analytic_account_s00023_prj,S00023_PRJ,1,analytic.analytic_plan_projects,base.main_company,Jinasena_MasterData_Common.res_partner_rubber_development_department
account_analytic_account_automobile,AUTOMOBILE,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_d_1,D-1,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_d_2,D-2,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_d_3,D-3,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_dir_nsbu1,Dir-NSBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_dir_sbu1,Dir-SBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_engineerin,ENGINEERIN,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_gen,GEN,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_it,IT,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_jem,JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_non_sbu1,Non-SBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_oth_comp,OTH-COMP,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_oth_sbu_1,OTH-SBU-1,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_r_d,R & D,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_sp_proj,SP-PROJ,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_training,TRAINING,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_transport,TRANSPORT,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_welfare_sp,WELFARE-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_department,base.main_company,
account_analytic_account_col_sl_bhs,COL-SL-BHS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_col_sl_col,COL-SL-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_col_sl_ip,COL-SL-IP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_col_sl_tch,COL-SL-TCH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_dir_nsbu1_2010,DIR-NSBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_dir_sbu1_2011,DIR-SBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_energy_sec,ENERGY-SEC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_eng_eka,ENG-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_exp_botswn,EXP-BOTSWN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_exp_male,EXP-MALE,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_exp_promo,EXP-PROMO,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_fin_jcl,FIN-JCL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_fin_jem,FIN-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_fin_jltd,FIN-JLTD,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_fin_jpl,FIN-JPL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_fin_jsl,FIN-JSL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_fin_sbu1,FIN-SBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_gen_2024,GEN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_gen_col,GEN-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_gen_ekl,GEN-EKL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_gen_jem,GEN-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_heal_saft,HEAL-SAFT,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_imp_col,IMP-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_imp_jem,IMP-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_int_audit,INT-AUDIT,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_it_hw,IT-HW,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_it_sw,IT-SW,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_man_gen,MAN-GEN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_mnt_col,MNT-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_mnt_eka,MNT-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_mnt_jem,MNT-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_non_sbu1_2038,NON-SBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_alme,OC-ALME,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_cmsc,OC-CMSC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_cmyc,OC-CMYC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_dphl,OC-DPHL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jet,OC-JET,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jip,OC-JIP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jms,OC-JMS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jn_it,OC-JN-IT,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_rdc,OC-RDC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_rlh,OC-RLH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_slams,OC-SLAMS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_per_col,PER-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_per_eka,PER-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_per_jem,PER-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_plst_div,PLST-DIV,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_agr_pr,PRD-AGR-PR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_as_jem,PRD-AS-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_castin,PRD-CASTIN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_die_ml,PRD-DIE-ML,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_eng_as,PRD-ENG-AS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_gen,PRD-GEN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_hvst_a,PRD-HVST-A,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mch_sp,PRD-MCH-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mng,PRD-MNG,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mntnce,PRD-MNTNCE,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mot_as,PRD-MOT-AS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mot_cy,PRD-MOT-CY,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mot_wn,PRD-MOT-WN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_oth,PRD-OTH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_pdsv,PRD-PDSV,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_plst,PRD-PLST,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_pmp_as,PRD-PMP-AS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_pnt_sp,PRD-PNT-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_qty_cn,PRD-QTY-CN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_trctor,PRD-TRCTOR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_trnspt,PRD-TRNSPT,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_wn_jem,PRD-WN-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
