id,name,code,active,type,default_account_id/id,suspense_account_id/id,restrict_mode_hash_table,sequence,invoice_reference_type,invoice_reference_model,company_id/id,refund_sequence,payment_sequence,profit_account_id/id,loss_account_id/id,bank_account_id/id,bank_statements_source,secure_sequence_id/id,show_on_dashboard,color,check_manual_sequencing,check_sequence_id/id,renewal_contact_email
account_journal_payment_gateway,Payment Gateway,BNK1,1,bank,,,,10,invoice,odoo,,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_payment_gateway_check_number_sequence,rohana.b@jinasena.com.lk
account_journal_12345,12345,BNK1,1,bank,,,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,Jinasena_MasterData_Common.res_partner_bank_id_19,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_12345_check_number_sequence,rohana.b@jinasena.com.lk
account_journal_rohana,ROHANA,BNK2,1,bank,Jinasena_MasterData_Accounting.account_account_rohana_bank,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_rohana_check_number_sequence,rohana.b@jinasena.com.lk
account_journal_boc_bank,BOC BANK,BOC,1,bank,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_main,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_boc_bank_check_number_sequence,rohana.b@jinasena.com.lk
account_journal_credit_advice_commercial,Credit Advice - Commercial,CACOM,1,bank,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7_,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_credit_advice_commercial_check_number_se,milinda.bakmiwewa@jinasena.com.lk
account_journal_commercial_bank,Commercial Bank,COMM,1,bank,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7_,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_commercial_bank_check_number_sequence_1264,rohana.b@jinasena.com.lk
account_journal_commercial_cash_receipts,Commercial - Cash Receipts,CRCS1,1,bank,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7_,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7__4358,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_receipts_cash_copy_check_number,milinda.bakmiwewa@jinasena.com.lk
account_journal_commercial_cheque_receipts,Commercial - Cheque Receipts,CRCS2,1,bank,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7_,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7__4358,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_commercial_cash_receipts_copy_check_numb,milinda.bakmiwewa@jinasena.com.lk
account_journal_boc_cash_receipts,BOC - Cash Receipts,CRSCC,1,bank,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_main,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_receipt,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_receipts_sales_centre_cash_chec,milinda.bakmiwewa@jinasena.com.lk
account_journal_boc_cheque_receipts,BOC - Cheque Receipts,CRSCH,1,bank,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_main,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_receipt,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_customer_receipts_sales_centre_cheque_ch,milinda.bakmiwewa@jinasena.com.lk
account_journal_debit_advice_commercial,Debit Advice - Commercial,DACOM,1,bank,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7_,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_debit_advice_commercial_check_number_seq,milinda.bakmiwewa@jinasena.com.lk
account_journal_vendor_payment_boc,Vendor Payment - BOC,VPBOC,1,bank,Jinasena_MasterData_Accounting.account_account_bank_of_ceylon_corporate_branch_main,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_vendor_payment_boc_check_number_sequence,milinda.bakmiwewa@jinasena.com.lk
account_journal_vendor_payment_commercial,Vendor Payment - Commercial,VPCOM,1,bank,Jinasena_MasterData_Accounting.account_account_commercial_bank_of_ceylon_plc_colombo_7_,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,1,,,,undefined,,1,0,1,Jinasena_MasterData_Common.ir_sequence_vendor_payment_commercial_check_number_s,milinda.bakmiwewa@jinasena.com.lk
account_journal_cash,Cash,CASH,1,cash,Jinasena_MasterData_Accounting.account_account_cash_floats,Jinasena_MasterData_Accounting.account_account_bank_suspense,,10,invoice,odoo,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,,,,,undefined,,1,0,,Jinasena_MasterData_Common.ir_sequence_cash_check_number_sequence,
