id,x_studio_payment_term/id
Jinasena_MasterData_Common.customer_group_cent_issue,Jinasena_MasterData_Accounting.account_payment_term_30_days
Jinasena_MasterData_Common.customer_group_distr,Jinasena_MasterData_Accounting.account_payment_term_60_days
Jinasena_MasterData_Common.customer_group_dlrs,Jinasena_MasterData_Accounting.account_payment_term_45_days
Jinasena_MasterData_Common.customer_group_expt,Jinasena_MasterData_Accounting.account_payment_term_60_days
Jinasena_MasterData_Common.customer_group_sbu1,Jinasena_MasterData_Accounting.account_payment_term_30_days
Jinasena_MasterData_Common.customer_group_svat_crc,Jinasena_MasterData_Accounting.account_payment_term_10_days
Jinasena_MasterData_Common.customer_group_tc_sc,Jinasena_MasterData_Accounting.account_payment_term_30_days
Jinasena_MasterData_Common.customer_group_welfare,Jinasena_MasterData_Accounting.account_payment_term_30_days
Jinasena_MasterData_Common.customer_group_cac_211,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.customer_group_cent_issue_212,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.customer_group_distr_213,Jinasena_MasterData_Accounting.account_payment_term_60_days_278
Jinasena_MasterData_Common.customer_group_dlrs_214,Jinasena_MasterData_Accounting.account_payment_term_45_days_277
Jinasena_MasterData_Common.customer_group_expt_215,Jinasena_MasterData_Accounting.account_payment_term_60_days_278
Jinasena_MasterData_Common.customer_group_legal_216,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.customer_group_sbu1_217,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.customer_group_svat_cac_218,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.customer_group_svat_crc_219,Jinasena_MasterData_Accounting.account_payment_term_10_days_272
Jinasena_MasterData_Common.customer_group_tc,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.customer_group_welfare_221,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.customer_group_comm,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.customer_group_comm_223,Jinasena_MasterData_Accounting.account_payment_term_30_days
